,fluxes
PFK,0.0
PFL,1.85177701587171
PGI,-9.832446029641012
PGK,-4.811082962362374
PGL,15.203124980018085
ACALD,0.0
AKGt2r,0.0
PGM,-4.237138359270386
PIt2r,1.4113435905043616
ALCD2x,0.0
ACALDt,0.0
ACKr,0.0
PPC,1.099395491056412
ACONTa,0.41392301622723404
ACONTb,0.41392301622723404
ATPM,8.39
PPCK,0.0
ACt2r,0.0
PPS,2.5107390815607635
ADK1,2.5107390815607693
AKGDH,0.0
ATPS4r,31.64476976355473
PTAr,0.0
PYK,0.0
BIOMASS_Ecoli_core_w_GAM,0.383652809553465
PYRt2,-3.552713678800501e-15
CO2t,-14.51765250518891
RPE,9.859647013838359
CS,0.41392301622723404
RPI,-5.3434779661797265
SUCCt2_2,4.1539083265875245
CYTBD,30.00000000000002
D_LACt2,0.0
ENO,4.237138359270386
SUCCt3,4.1539083265875245
ETOHt2r,0.0
SUCDi,0.0
SUCOAS,0.0
TALA,4.99907283904358
THD2,0.0
TKT1,4.9990728390435795
TKT2,4.860574174794778
TPI,9.683461122632616e-16
EX_ac_e,0.0
EX_acald_e,0.0
EX_akg_e,0.0
EX_co2_e,14.51765250518891
EX_etoh_e,0.0
EX_for_e,1.85177701587171
EX_fru_e,0.0
EX_fum_e,0.0
EX_glc__D_e,-5.449327776335533
EX_gln__L_e,0.0
EX_glu__L_e,0.0
EX_h_e,9.547852375514204
EX_h2o_e,17.312333031100206
EX_lac__D_e,0.0
EX_mal__L_e,0.0
EX_nh4_e,-2.0919820399331335
EX_o2_e,-15.0
EX_pi_e,-1.4113435905043616
EX_pyr_e,0.0
EX_succ_e,0.0
FBA,0.0
FBP,0.0
FORt2,0.0
FORt,-1.85177701587171
FRD7,-1.2904875545659427e-15
FRUpts2,0.0
FUM,-8.037460579681414e-16
FUMt2_2,0.0
G6PDH2r,15.203124980018085
GAPD,4.811082962362374
GLCpts,5.449327776335533
GLNS,0.09810002340282088
GLNabc,1.6153007387470125e-16
GLUDy,-1.993882016530313
GLUN,0.0
GLUSy,0.0
GLUt2r,-4.440892098500626e-16
GND,15.203124980018085
H2Ot,-17.312333031100213
ICDHyr,0.41392301622723515
ICL,0.0
LDH_D,0.0
MALS,0.0
MALt2_2,1.7985612998927536e-14
MDH,-7.193136962361559e-16
ME1,0.0
ME2,0.0
NADH16,30.000000000000018
NADTRHD,23.828100522151505
NH4t,2.0919820399331335
O2t,15.000000000000009
PDH,0.0
